customer_id,grupo_experimento,tipo_oferta,descuento_ofrecido_pct,fecha_campana,periodo_observacion_dias,hizo_churn_post_campana,compras_post_campana,gasto_post_campana_dop
XFC-02216,Tratamiento,Descuento 10%,10,2025-09-01,60,False,3,1627.67
XFC-02583,Control,Ninguna,0,2025-09-01,60,False,2,1831.33
XFC-01663,Control,Ninguna,0,2025-09-01,60,False,4,3612.16
XFC-03028,Control,Ninguna,0,2025-09-01,60,False,2,2784.7
XFC-04344,Control,Ninguna,0,2025-09-01,60,False,3,2279.78
XFC-02681,Control,Ninguna,0,2025-09-01,60,False,9,2782.94
XFC-01766,Control,Ninguna,0,2025-09-01,60,True,0,520.26
XFC-01124,Tratamiento,Descuento 10%,10,2025-09-01,60,False,4,2226.03
XFC-04055,Tratamiento,Envío gratis,5,2025-09-01,60,True,0,142.14
XFC-03762,Tratamiento,Envío gratis,5,2025-09-01,60,True,0,0.0
XFC-01536,Tratamiento,Descuento 15%,15,2025-09-01,60,False,4,2936.95
XFC-02945,Control,Ninguna,0,2025-09-01,60,False,5,2268.85
XFC-02988,Tratamiento,Puntos dobles,8,2025-09-01,60,False,1,2131.09
XFC-04292,Control,Ninguna,0,2025-09-01,60,False,2,2724.6
XFC-04343,Tratamiento,Envío gratis,5,2025-09-01,60,False,2,2727.42
XFC-04425,Control,Ninguna,0,2025-09-01,60,False,4,2670.71
XFC-07942,Tratamiento,Envío gratis,5,2025-09-01,60,False,1,1347.69
XFC-04998,Tratamiento,Descuento 10%,10,2025-09-01,60,False,7,2785.81
XFC-02749,Tratamiento,Descuento 15%,15,2025-09-01,60,False,1,4502.47
XFC-02303,Tratamiento,Descuento 10%,10,2025-09-01,60,True,1,1295.55
XFC-03933,Tratamiento,Envío gratis,5,2025-09-01,60,False,1,2670.57
XFC-05957,Control,Ninguna,0,2025-09-01,60,False,0,1466.94
XFC-06132,Control,Ninguna,0,2025-09-01,60,True,1,0.0
XFC-07597,Tratamiento,Envío gratis,5,2025-09-01,60,False,3,3526.82
XFC-00795,Tratamiento,Descuento 15%,15,2025-09-01,60,False,3,2820.57
XFC-03164,Control,Ninguna,0,2025-09-01,60,True,0,0.0
XFC-07941,Tratamiento,Descuento 15%,15,2025-09-01,60,False,2,3692.57
XFC-03182,Tratamiento,Envío gratis,5,2025-09-01,60,False,1,3519.54
XFC-00764,Control,Ninguna,0,2025-09-01,60,False,2,3964.58
XFC-03079,Control,Ninguna,0,2025-09-01,60,False,3,2336.88
XFC-00812,Control,Ninguna,0,2025-09-01,60,False,2,2056.89
XFC-07260,Control,Ninguna,0,2025-09-01,60,False,3,2103.28
XFC-06932,Tratamiento,Descuento 10%,10,2025-09-01,60,False,3,3619.65
XFC-01619,Control,Ninguna,0,2025-09-01,60,False,5,3385.78
XFC-06827,Tratamiento,Llamada personalizada,0,2025-09-01,60,False,3,1110.85
XFC-01043,Control,Ninguna,0,2025-09-01,60,False,1,2996.32
XFC-05319,Tratamiento,Descuento 15%,15,2025-09-01,60,False,5,2836.05
XFC-04795,Tratamiento,Llamada personalizada,0,2025-09-01,60,False,5,3836.61
XFC-00488,Control,Ninguna,0,2025-09-01,60,False,2,2262.89
XFC-01018,Tratamiento,Descuento 10%,10,2025-09-01,60,False,3,3081.18
XFC-02816,Tratamiento,Envío gratis,5,2025-09-01,60,False,1,2895.08
XFC-02717,Tratamiento,Llamada personalizada,0,2025-09-01,60,False,1,1632.76
XFC-05364,Tratamiento,Descuento 10%,10,2025-09-01,60,False,7,2641.25
XFC-02930,Tratamiento,Descuento 15%,15,2025-09-01,60,False,5,1036.98
XFC-03363,Control,Ninguna,0,2025-09-01,60,False,7,1982.83
XFC-05166,Control,Ninguna,0,2025-09-01,60,False,4,2017.68
XFC-01076,Tratamiento,Envío gratis,5,2025-09-01,60,False,4,2066.22
XFC-06399,Tratamiento,Envío gratis,5,2025-09-01,60,True,1,604.4
XFC-04982,Tratamiento,Descuento 10%,10,2025-09-01,60,False,5,2461.8
XFC-06229,Control,Ninguna,0,2025-09-01,60,True,0,1095.42
