customer_id,probabilidad_churn,riesgo_churn,churn_real,fecha_scoring
XFC-00001,0.0923,Muy Bajo,0,2026-04-15
XFC-00002,0.4472,Medio,0,2026-04-15
XFC-00003,0.8139,Crítico,1,2026-04-15
XFC-00004,0.863,Crítico,1,2026-04-15
XFC-00005,0.9077,Crítico,1,2026-04-15
XFC-00006,0.0078,Muy Bajo,0,2026-04-15
XFC-00007,0.2183,Bajo,0,2026-04-15
XFC-00008,0.624,Alto,0,2026-04-15
XFC-00009,0.0129,Muy Bajo,0,2026-04-15
XFC-00010,0.6437,Alto,1,2026-04-15
XFC-00011,0.4392,Medio,0,2026-04-15
XFC-00012,0.7666,Alto,1,2026-04-15
XFC-00013,0.1177,Muy Bajo,0,2026-04-15
XFC-00014,0.304,Bajo,0,2026-04-15
XFC-00015,0.6191,Alto,1,2026-04-15
XFC-00016,0.8946,Crítico,1,2026-04-15
XFC-00017,0.6189,Alto,1,2026-04-15
XFC-00018,0.8947,Crítico,1,2026-04-15
XFC-00019,0.5452,Medio,1,2026-04-15
XFC-00020,0.0086,Muy Bajo,0,2026-04-15
XFC-00021,0.7655,Alto,1,2026-04-15
XFC-00022,0.2791,Bajo,0,2026-04-15
XFC-00023,0.7815,Alto,1,2026-04-15
XFC-00024,0.0747,Muy Bajo,0,2026-04-15
XFC-00025,0.0113,Muy Bajo,0,2026-04-15
XFC-00026,0.6626,Alto,1,2026-04-15
XFC-00027,0.6078,Alto,1,2026-04-15
XFC-00028,0.009,Muy Bajo,0,2026-04-15
XFC-00029,0.008,Muy Bajo,0,2026-04-15
XFC-00030,0.241,Bajo,0,2026-04-15
XFC-00031,0.9319,Crítico,1,2026-04-15
XFC-00032,0.7182,Alto,1,2026-04-15
XFC-00033,0.0428,Muy Bajo,0,2026-04-15
XFC-00034,0.6491,Alto,0,2026-04-15
XFC-00035,0.319,Bajo,0,2026-04-15
XFC-00036,0.9025,Crítico,1,2026-04-15
XFC-00037,0.0322,Muy Bajo,0,2026-04-15
XFC-00038,0.8054,Crítico,1,2026-04-15
XFC-00039,0.4506,Medio,1,2026-04-15
XFC-00040,0.1787,Muy Bajo,0,2026-04-15
XFC-00041,0.8032,Crítico,1,2026-04-15
XFC-00042,0.7943,Alto,1,2026-04-15
XFC-00043,0.8064,Crítico,1,2026-04-15
XFC-00044,0.9456,Crítico,1,2026-04-15
XFC-00045,0.0601,Muy Bajo,0,2026-04-15
XFC-00046,0.6397,Alto,1,2026-04-15
XFC-00047,0.8045,Crítico,1,2026-04-15
XFC-00048,0.846,Crítico,1,2026-04-15
XFC-00049,0.7905,Alto,1,2026-04-15
XFC-00050,0.8006,Crítico,1,2026-04-15
XFC-00051,0.0059,Muy Bajo,0,2026-04-15
XFC-00052,0.0834,Muy Bajo,0,2026-04-15
XFC-00053,0.7962,Alto,1,2026-04-15
XFC-00054,0.4313,Medio,0,2026-04-15
XFC-00055,0.1553,Muy Bajo,0,2026-04-15
XFC-00056,0.0813,Muy Bajo,0,2026-04-15
XFC-00057,0.1767,Muy Bajo,0,2026-04-15
XFC-00058,0.1578,Muy Bajo,0,2026-04-15
XFC-00059,0.0744,Muy Bajo,0,2026-04-15
XFC-00060,0.9613,Crítico,1,2026-04-15
XFC-00061,0.0101,Muy Bajo,0,2026-04-15
XFC-00062,0.6244,Alto,1,2026-04-15
XFC-00063,0.1285,Muy Bajo,0,2026-04-15
XFC-00064,0.1914,Muy Bajo,0,2026-04-15
XFC-00065,0.2657,Bajo,0,2026-04-15
XFC-00066,0.8626,Crítico,1,2026-04-15
XFC-00067,0.9469,Crítico,1,2026-04-15
XFC-00068,0.8022,Crítico,0,2026-04-15
XFC-00069,0.5049,Medio,1,2026-04-15
XFC-00070,0.9195,Crítico,1,2026-04-15
XFC-00071,0.8916,Crítico,1,2026-04-15
XFC-00072,0.0978,Muy Bajo,0,2026-04-15
XFC-00073,0.2948,Bajo,0,2026-04-15
XFC-00074,0.5836,Medio,1,2026-04-15
XFC-00075,0.0873,Muy Bajo,0,2026-04-15
XFC-00076,0.9777,Crítico,1,2026-04-15
XFC-00077,0.6767,Alto,1,2026-04-15
XFC-00078,0.6219,Alto,0,2026-04-15
XFC-00079,0.2266,Bajo,0,2026-04-15
XFC-00080,0.2305,Bajo,1,2026-04-15
XFC-00081,0.505,Medio,1,2026-04-15
XFC-00082,0.8201,Crítico,1,2026-04-15
XFC-00083,0.0079,Muy Bajo,0,2026-04-15
XFC-00084,0.8475,Crítico,1,2026-04-15
XFC-00085,0.4916,Medio,0,2026-04-15
XFC-00086,0.9594,Crítico,1,2026-04-15
XFC-00087,0.8542,Crítico,1,2026-04-15
XFC-00088,0.6154,Alto,1,2026-04-15
XFC-00089,0.0082,Muy Bajo,0,2026-04-15
XFC-00090,0.0085,Muy Bajo,0,2026-04-15
XFC-00091,0.885,Crítico,1,2026-04-15
XFC-00092,0.1584,Muy Bajo,0,2026-04-15
XFC-00093,0.007,Muy Bajo,0,2026-04-15
XFC-00094,0.939,Crítico,1,2026-04-15
XFC-00095,0.6675,Alto,0,2026-04-15
XFC-00096,0.0576,Muy Bajo,0,2026-04-15
XFC-00097,0.8251,Crítico,1,2026-04-15
XFC-00098,0.9185,Crítico,1,2026-04-15
XFC-00099,0.1146,Muy Bajo,0,2026-04-15
XFC-00100,0.0522,Muy Bajo,0,2026-04-15
XFC-00101,0.0211,Muy Bajo,0,2026-04-15
XFC-00102,0.4986,Medio,1,2026-04-15
XFC-00103,0.0806,Muy Bajo,0,2026-04-15
XFC-00104,0.8695,Crítico,1,2026-04-15
XFC-00105,0.7741,Alto,0,2026-04-15
XFC-00106,0.7811,Alto,1,2026-04-15
XFC-00107,0.7874,Alto,1,2026-04-15
XFC-00108,0.6993,Alto,1,2026-04-15
XFC-00109,0.0907,Muy Bajo,0,2026-04-15
XFC-00110,0.9069,Crítico,1,2026-04-15
XFC-00111,0.0366,Muy Bajo,0,2026-04-15
XFC-00112,0.7734,Alto,1,2026-04-15
XFC-00113,0.6513,Alto,1,2026-04-15
XFC-00114,0.5471,Medio,0,2026-04-15
XFC-00115,0.2014,Bajo,0,2026-04-15
XFC-00116,0.7914,Alto,1,2026-04-15
XFC-00117,0.1329,Muy Bajo,0,2026-04-15
XFC-00118,0.0075,Muy Bajo,0,2026-04-15
XFC-00119,0.762,Alto,1,2026-04-15
XFC-00120,0.2818,Bajo,0,2026-04-15
XFC-00121,0.4541,Medio,0,2026-04-15
XFC-00122,0.0682,Muy Bajo,0,2026-04-15
XFC-00123,0.1982,Muy Bajo,0,2026-04-15
XFC-00124,0.0091,Muy Bajo,0,2026-04-15
XFC-00125,0.6982,Alto,1,2026-04-15
XFC-00126,0.679,Alto,1,2026-04-15
XFC-00127,0.8818,Crítico,1,2026-04-15
XFC-00128,0.8689,Crítico,1,2026-04-15
XFC-00129,0.2255,Bajo,0,2026-04-15
XFC-00130,0.263,Bajo,0,2026-04-15
XFC-00131,0.0095,Muy Bajo,0,2026-04-15
XFC-00132,0.9477,Crítico,1,2026-04-15
XFC-00133,0.7924,Alto,1,2026-04-15
XFC-00134,0.8017,Crítico,1,2026-04-15
XFC-00135,0.8984,Crítico,1,2026-04-15
XFC-00136,0.7568,Alto,1,2026-04-15
XFC-00137,0.0658,Muy Bajo,0,2026-04-15
XFC-00138,0.6959,Alto,1,2026-04-15
XFC-00139,0.0099,Muy Bajo,0,2026-04-15
XFC-00140,0.326,Bajo,1,2026-04-15
XFC-00141,0.4467,Medio,1,2026-04-15
XFC-00142,0.9555,Crítico,1,2026-04-15
XFC-00143,0.1116,Muy Bajo,0,2026-04-15
XFC-00144,0.24,Bajo,0,2026-04-15
XFC-00145,0.8666,Crítico,1,2026-04-15
XFC-00146,0.5944,Medio,1,2026-04-15
XFC-00147,0.0076,Muy Bajo,0,2026-04-15
XFC-00148,0.9324,Crítico,1,2026-04-15
XFC-00149,0.9156,Crítico,1,2026-04-15
XFC-00150,0.9369,Crítico,1,2026-04-15
XFC-00151,0.9384,Crítico,1,2026-04-15
XFC-00152,0.9471,Crítico,1,2026-04-15
XFC-00153,0.0897,Muy Bajo,0,2026-04-15
XFC-00154,0.0878,Muy Bajo,0,2026-04-15
XFC-00155,0.1314,Muy Bajo,0,2026-04-15
XFC-00156,0.6881,Alto,0,2026-04-15
XFC-00157,0.6434,Alto,0,2026-04-15
XFC-00158,0.8735,Crítico,1,2026-04-15
XFC-00159,0.0049,Muy Bajo,0,2026-04-15
XFC-00160,0.0078,Muy Bajo,0,2026-04-15
