customer_id,score_margen,score_ingreso,score_frecuencia,score_programa,score_adherencia,indice_priorizacion,categoria_valor,clv_24m,fecha_calculo
XFC-00001,23.64,18.86,32.0,0,79.51,38.34,Valor Medio,3184.0,2026-04-15
XFC-00002,12.3,2.46,8.88,25,76.06,30.22,Valor Bajo,1061.0,2026-04-15
XFC-00003,1.01,0.81,4.5,0,50.0,16.09,Valor Bajo,0.0,2026-04-15
XFC-00004,1.01,0.84,1.88,50,50.0,20.7,Valor Bajo,0.0,2026-04-15
XFC-00005,0.62,0.58,2.88,0,50.0,15.7,Valor Bajo,0.0,2026-04-15
XFC-00006,1.48,0.0,0.0,0,50.0,15.37,Valor Bajo,0.0,2026-04-15
XFC-00007,18.63,15.36,15.75,0,87.42,36.32,Valor Medio,2196.0,2026-04-15
XFC-00008,20.98,19.19,10.62,0,87.54,36.94,Valor Medio,2398.0,2026-04-15
XFC-00009,0.18,0.0,0.0,0,50.0,15.04,Valor Bajo,0.0,2026-04-15
XFC-00010,8.77,7.4,15.12,0,50.0,20.94,Valor Bajo,0.0,2026-04-15
XFC-00011,4.36,3.48,8.62,25,50.0,20.58,Valor Bajo,0.0,2026-04-15
XFC-00012,1.16,1.04,9.25,100,50.0,26.89,Valor Bajo,0.0,2026-04-15
XFC-00013,10.89,9.09,14.0,100,50.0,31.64,Valor Bajo,0.0,2026-04-15
XFC-00014,42.76,49.19,22.62,50,94.65,57.32,Alto Valor,10907.0,2026-04-15
XFC-00015,1.95,1.63,8.88,0,50.0,17.15,Valor Bajo,0.0,2026-04-15
XFC-00016,0.42,0.4,11.25,100,50.0,26.87,Valor Bajo,0.0,2026-04-15
XFC-00017,4.16,3.52,6.75,0,50.0,17.76,Valor Bajo,0.0,2026-04-15
XFC-00018,0.27,0.26,0.88,0,50.0,15.25,Valor Bajo,0.0,2026-04-15
XFC-00019,1.97,1.67,12.12,0,50.0,17.64,Valor Bajo,0.0,2026-04-15
XFC-00020,4.23,0.0,0.0,0,0.0,1.06,En Riesgo,282.0,2026-04-15
XFC-00021,10.93,11.46,8.0,0,88.22,32.69,Valor Bajo,1561.0,2026-04-15
