customer_id,probabilidad_churn,riesgo_churn,segmento,es_cronico,indice_priorizacion,categoria_valor,tipo_respuesta,accion_recomendada,descuento_pct,canal_contacto,prioridad_accion,justificacion,fecha_generacion,costo_estimado_dop
XFC-00001,0.0923,Muy Bajo,Crónico en Riesgo,True,38.34,Valor Medio,Persuadible,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00002,0.4472,Medio,Crónico en Riesgo,True,30.22,Valor Bajo,Lost Cause,Recordatorio receta,7,SMS,Media,Crónico riesgo moderado,2026-04-15,35.0
XFC-00003,0.8139,Crítico,Estándar Presencial,False,16.09,Valor Bajo,Persuadible,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00004,0.863,Crítico,Estándar Presencial,False,20.7,Valor Bajo,Persuadible,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00005,0.9077,Crítico,Estándar Presencial,False,15.7,Valor Bajo,Lost Cause,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00006,0.0078,Muy Bajo,Frecuente Digital,False,15.37,Valor Bajo,Lost Cause,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00007,0.2183,Bajo,Crónico en Riesgo,True,36.32,Valor Medio,Persuadible,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00008,0.624,Alto,Crónico en Riesgo,True,36.94,Valor Medio,Persuadible,Recordatorio+Descuento,10,WhatsApp,Alta,Crónico con riesgo de abandono,2026-04-15,50.0
XFC-00009,0.0129,Muy Bajo,Frecuente Digital,False,15.04,Valor Bajo,Lost Cause,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00010,0.6437,Alto,Estándar Presencial,False,20.94,Valor Bajo,Persuadible,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00011,0.4392,Medio,Estándar Presencial,False,20.58,Valor Bajo,Lost Cause,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00012,0.7666,Alto,Estándar Presencial,False,26.89,Valor Bajo,Lost Cause,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00013,0.1177,Muy Bajo,Esporádico / Inactivo,False,31.64,Valor Bajo,Sure Thing,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00014,0.304,Bajo,Crónico Alto Valor,True,57.32,Alto Valor,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00015,0.6191,Alto,Estándar Presencial,False,17.15,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00016,0.8946,Crítico,Estándar Presencial,False,26.87,Valor Bajo,Lost Cause,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00017,0.6189,Alto,Estándar Presencial,False,17.76,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00018,0.8947,Crítico,Estándar Presencial,False,15.25,Valor Bajo,Sure Thing,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00019,0.5452,Medio,Estándar Presencial,False,17.64,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00020,0.0086,Muy Bajo,Frecuente Digital,True,1.06,En Riesgo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00021,0.7655,Alto,Esporádico / Inactivo,True,32.69,Valor Bajo,Persuadible,Recordatorio+Descuento,10,WhatsApp,Alta,Crónico con riesgo de abandono,2026-04-15,50.0
XFC-00022,0.2791,Bajo,Esporádico / Inactivo,False,18.36,Valor Bajo,Lost Cause,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00023,0.7815,Alto,Estándar Presencial,False,24.82,Valor Bajo,Sure Thing,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00024,0.0747,Muy Bajo,Crónico en Riesgo,True,45.88,Valor Medio,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00025,0.0113,Muy Bajo,Frecuente Digital,True,5.6,En Riesgo,Lost Cause,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00026,0.6626,Alto,Crónico Alto Valor,True,49.91,Valor Medio,Sure Thing,Recordatorio+Descuento,10,WhatsApp,Alta,Crónico con riesgo de abandono,2026-04-15,50.0
XFC-00027,0.6078,Alto,Esporádico / Inactivo,False,16.79,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00028,0.009,Muy Bajo,Frecuente Digital,True,1.24,En Riesgo,Persuadible,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00029,0.008,Muy Bajo,Frecuente Digital,False,15.02,Valor Bajo,Lost Cause,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00030,0.241,Bajo,Estándar Presencial,False,21.77,Valor Bajo,Lost Cause,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00031,0.9319,Crítico,Estándar Presencial,False,15.77,Valor Bajo,Lost Cause,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00032,0.7182,Alto,Esporádico / Inactivo,False,17.95,Valor Bajo,Persuadible,Email reactivación,5,Email,Baja,Esporádico alto riesgo,2026-04-15,25.0
XFC-00033,0.0428,Muy Bajo,Crónico Alto Valor,True,50.31,Valor Medio,Lost Cause,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00034,0.6491,Alto,Estándar Presencial,False,20.8,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00035,0.319,Bajo,Estándar Presencial,False,18.27,Valor Bajo,Persuadible,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00036,0.9025,Crítico,Esporádico / Inactivo,False,15.53,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00037,0.0322,Muy Bajo,Crónico Alto Valor,True,50.6,Valor Medio,Sure Thing,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00038,0.8054,Crítico,Esporádico / Inactivo,False,18.57,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00039,0.4506,Medio,Esporádico / Inactivo,False,16.55,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00040,0.1787,Muy Bajo,Crónico en Riesgo,True,35.27,Valor Medio,Sure Thing,Sin acción,0,Ninguno,Monitoreo,Cliente estable,2026-04-15,0.0
XFC-00041,0.8032,Crítico,Estándar Presencial,False,18.01,Valor Bajo,Persuadible,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00042,0.7943,Alto,Estándar Presencial,False,22.37,Valor Bajo,Sure Thing,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00043,0.8064,Crítico,Estándar Presencial,False,15.73,Valor Bajo,Lost Cause,Comunicación estándar,3,Email,Baja,Riesgo moderado,2026-04-15,15.0
XFC-00044,0.9456,Crítico,Esporádico / Inactivo,False,18.18,Valor Bajo,Lost Cause,Email reactivación,5,Email,Baja,Esporádico alto riesgo,2026-04-15,25.0
XFC-00045,0.0601,Muy Bajo,Crónico Alto Valor,True,60.17,Alto Valor,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
XFC-00046,0.6397,Alto,Estándar Presencial,False,17.68,Valor Bajo,Sleeping Dog,No contactar,0,Ninguno,Baja,Empeora con contacto,2026-04-15,0.0
