customer_id,cluster,segmento,fecha_segmentacion
XFC-00001,4,Crónico en Riesgo,2026-04-15
XFC-00002,4,Crónico en Riesgo,2026-04-15
XFC-00003,1,Estándar Presencial,2026-04-15
XFC-00004,1,Estándar Presencial,2026-04-15
XFC-00005,1,Estándar Presencial,2026-04-15
XFC-00006,3,Frecuente Digital,2026-04-15
XFC-00007,4,Crónico en Riesgo,2026-04-15
XFC-00008,4,Crónico en Riesgo,2026-04-15
XFC-00009,3,Frecuente Digital,2026-04-15
XFC-00010,1,Estándar Presencial,2026-04-15
XFC-00011,1,Estándar Presencial,2026-04-15
XFC-00012,1,Estándar Presencial,2026-04-15
XFC-00013,2,Esporádico / Inactivo,2026-04-15
XFC-00014,0,Crónico Alto Valor,2026-04-15
XFC-00015,1,Estándar Presencial,2026-04-15
XFC-00016,1,Estándar Presencial,2026-04-15
XFC-00017,1,Estándar Presencial,2026-04-15
XFC-00018,1,Estándar Presencial,2026-04-15
XFC-00019,1,Estándar Presencial,2026-04-15
XFC-00020,3,Frecuente Digital,2026-04-15
XFC-00021,2,Esporádico / Inactivo,2026-04-15
XFC-00022,2,Esporádico / Inactivo,2026-04-15
XFC-00023,1,Estándar Presencial,2026-04-15
XFC-00024,4,Crónico en Riesgo,2026-04-15
XFC-00025,3,Frecuente Digital,2026-04-15
XFC-00026,0,Crónico Alto Valor,2026-04-15
XFC-00027,2,Esporádico / Inactivo,2026-04-15
XFC-00028,3,Frecuente Digital,2026-04-15
XFC-00029,3,Frecuente Digital,2026-04-15
XFC-00030,1,Estándar Presencial,2026-04-15
XFC-00031,1,Estándar Presencial,2026-04-15
XFC-00032,2,Esporádico / Inactivo,2026-04-15
XFC-00033,0,Crónico Alto Valor,2026-04-15
XFC-00034,1,Estándar Presencial,2026-04-15
XFC-00035,1,Estándar Presencial,2026-04-15
XFC-00036,2,Esporádico / Inactivo,2026-04-15
XFC-00037,0,Crónico Alto Valor,2026-04-15
XFC-00038,2,Esporádico / Inactivo,2026-04-15
XFC-00039,2,Esporádico / Inactivo,2026-04-15
XFC-00040,4,Crónico en Riesgo,2026-04-15
XFC-00041,1,Estándar Presencial,2026-04-15
XFC-00042,1,Estándar Presencial,2026-04-15
XFC-00043,1,Estándar Presencial,2026-04-15
XFC-00044,2,Esporádico / Inactivo,2026-04-15
XFC-00045,0,Crónico Alto Valor,2026-04-15
XFC-00046,1,Estándar Presencial,2026-04-15
XFC-00047,1,Estándar Presencial,2026-04-15
XFC-00048,2,Esporádico / Inactivo,2026-04-15
XFC-00049,2,Esporádico / Inactivo,2026-04-15
XFC-00050,4,Crónico en Riesgo,2026-04-15
XFC-00051,3,Frecuente Digital,2026-04-15
XFC-00052,4,Crónico en Riesgo,2026-04-15
XFC-00053,1,Estándar Presencial,2026-04-15
XFC-00054,2,Esporádico / Inactivo,2026-04-15
XFC-00055,4,Crónico en Riesgo,2026-04-15
XFC-00056,4,Crónico en Riesgo,2026-04-15
XFC-00057,4,Crónico en Riesgo,2026-04-15
XFC-00058,4,Crónico en Riesgo,2026-04-15
XFC-00059,4,Crónico en Riesgo,2026-04-15
XFC-00060,2,Esporádico / Inactivo,2026-04-15
XFC-00061,3,Frecuente Digital,2026-04-15
XFC-00062,1,Estándar Presencial,2026-04-15
XFC-00063,4,Crónico en Riesgo,2026-04-15
XFC-00064,4,Crónico en Riesgo,2026-04-15
XFC-00065,2,Esporádico / Inactivo,2026-04-15
XFC-00066,1,Estándar Presencial,2026-04-15
XFC-00067,2,Esporádico / Inactivo,2026-04-15
XFC-00068,2,Esporádico / Inactivo,2026-04-15
XFC-00069,4,Crónico en Riesgo,2026-04-15
XFC-00070,1,Estándar Presencial,2026-04-15
XFC-00071,1,Estándar Presencial,2026-04-15
XFC-00072,4,Crónico en Riesgo,2026-04-15
XFC-00073,2,Esporádico / Inactivo,2026-04-15
XFC-00074,1,Estándar Presencial,2026-04-15
XFC-00075,0,Crónico Alto Valor,2026-04-15
XFC-00076,2,Esporádico / Inactivo,2026-04-15
XFC-00077,0,Crónico Alto Valor,2026-04-15
XFC-00078,4,Crónico en Riesgo,2026-04-15
XFC-00079,1,Estándar Presencial,2026-04-15
XFC-00080,1,Estándar Presencial,2026-04-15
XFC-00081,0,Crónico Alto Valor,2026-04-15
XFC-00082,4,Crónico en Riesgo,2026-04-15
XFC-00083,3,Frecuente Digital,2026-04-15
XFC-00084,1,Estándar Presencial,2026-04-15
XFC-00085,1,Estándar Presencial,2026-04-15
XFC-00086,1,Estándar Presencial,2026-04-15
XFC-00087,1,Estándar Presencial,2026-04-15
XFC-00088,0,Crónico Alto Valor,2026-04-15
XFC-00089,3,Frecuente Digital,2026-04-15
XFC-00090,3,Frecuente Digital,2026-04-15
XFC-00091,2,Esporádico / Inactivo,2026-04-15
XFC-00092,4,Crónico en Riesgo,2026-04-15
XFC-00093,3,Frecuente Digital,2026-04-15
XFC-00094,3,Frecuente Digital,2026-04-15
XFC-00095,1,Estándar Presencial,2026-04-15
XFC-00096,0,Crónico Alto Valor,2026-04-15
XFC-00097,2,Esporádico / Inactivo,2026-04-15
XFC-00098,1,Estándar Presencial,2026-04-15
XFC-00099,4,Crónico en Riesgo,2026-04-15
XFC-00100,0,Crónico Alto Valor,2026-04-15
XFC-00101,3,Frecuente Digital,2026-04-15
XFC-00102,1,Estándar Presencial,2026-04-15
XFC-00103,0,Crónico Alto Valor,2026-04-15
XFC-00104,1,Estándar Presencial,2026-04-15
XFC-00105,1,Estándar Presencial,2026-04-15
XFC-00106,2,Esporádico / Inactivo,2026-04-15
XFC-00107,2,Esporádico / Inactivo,2026-04-15
XFC-00108,1,Estándar Presencial,2026-04-15
XFC-00109,0,Crónico Alto Valor,2026-04-15
XFC-00110,1,Estándar Presencial,2026-04-15
XFC-00111,4,Crónico en Riesgo,2026-04-15
XFC-00112,1,Estándar Presencial,2026-04-15
XFC-00113,0,Crónico Alto Valor,2026-04-15
XFC-00114,2,Esporádico / Inactivo,2026-04-15
XFC-00115,2,Esporádico / Inactivo,2026-04-15
XFC-00116,1,Estándar Presencial,2026-04-15
XFC-00117,1,Estándar Presencial,2026-04-15
XFC-00118,3,Frecuente Digital,2026-04-15
XFC-00119,1,Estándar Presencial,2026-04-15
XFC-00120,0,Crónico Alto Valor,2026-04-15
XFC-00121,2,Esporádico / Inactivo,2026-04-15
XFC-00122,0,Crónico Alto Valor,2026-04-15
XFC-00123,0,Crónico Alto Valor,2026-04-15
XFC-00124,3,Frecuente Digital,2026-04-15
XFC-00125,1,Estándar Presencial,2026-04-15
XFC-00126,1,Estándar Presencial,2026-04-15
XFC-00127,1,Estándar Presencial,2026-04-15
XFC-00128,1,Estándar Presencial,2026-04-15
XFC-00129,4,Crónico en Riesgo,2026-04-15
XFC-00130,4,Crónico en Riesgo,2026-04-15
XFC-00131,3,Frecuente Digital,2026-04-15
XFC-00132,3,Frecuente Digital,2026-04-15
XFC-00133,1,Estándar Presencial,2026-04-15
XFC-00134,1,Estándar Presencial,2026-04-15
XFC-00135,1,Estándar Presencial,2026-04-15
XFC-00136,1,Estándar Presencial,2026-04-15
XFC-00137,4,Crónico en Riesgo,2026-04-15
XFC-00138,4,Crónico en Riesgo,2026-04-15
XFC-00139,3,Frecuente Digital,2026-04-15
XFC-00140,0,Crónico Alto Valor,2026-04-15
XFC-00141,4,Crónico en Riesgo,2026-04-15
XFC-00142,2,Esporádico / Inactivo,2026-04-15
XFC-00143,2,Esporádico / Inactivo,2026-04-15
XFC-00144,2,Esporádico / Inactivo,2026-04-15
XFC-00145,1,Estándar Presencial,2026-04-15
XFC-00146,1,Estándar Presencial,2026-04-15
XFC-00147,3,Frecuente Digital,2026-04-15
XFC-00148,1,Estándar Presencial,2026-04-15
XFC-00149,2,Esporádico / Inactivo,2026-04-15
XFC-00150,2,Esporádico / Inactivo,2026-04-15
XFC-00151,2,Esporádico / Inactivo,2026-04-15
XFC-00152,1,Estándar Presencial,2026-04-15
XFC-00153,4,Crónico en Riesgo,2026-04-15
XFC-00154,1,Estándar Presencial,2026-04-15
XFC-00155,0,Crónico Alto Valor,2026-04-15
XFC-00156,1,Estándar Presencial,2026-04-15
XFC-00157,2,Esporádico / Inactivo,2026-04-15
XFC-00158,1,Estándar Presencial,2026-04-15
XFC-00159,3,Frecuente Digital,2026-04-15
XFC-00160,3,Frecuente Digital,2026-04-15
XFC-00161,1,Estándar Presencial,2026-04-15
XFC-00162,4,Crónico en Riesgo,2026-04-15
XFC-00163,0,Crónico Alto Valor,2026-04-15
XFC-00164,3,Frecuente Digital,2026-04-15
XFC-00165,0,Crónico Alto Valor,2026-04-15
XFC-00166,0,Crónico Alto Valor,2026-04-15
