customer_id,uplift_score,tipo_respuesta,fecha_calculo
XFC-00001,0.0597,Persuadible,2026-04-15
XFC-00002,0.0089,Lost Cause,2026-04-15
XFC-00003,0.0718,Persuadible,2026-04-15
XFC-00004,0.1418,Persuadible,2026-04-15
XFC-00005,0.0013,Lost Cause,2026-04-15
XFC-00006,0.0013,Lost Cause,2026-04-15
XFC-00007,0.1463,Persuadible,2026-04-15
XFC-00008,0.0814,Persuadible,2026-04-15
XFC-00009,-0.0176,Lost Cause,2026-04-15
XFC-00010,0.0634,Persuadible,2026-04-15
XFC-00011,-0.0171,Lost Cause,2026-04-15
XFC-00012,-0.0173,Lost Cause,2026-04-15
XFC-00013,0.0394,Sure Thing,2026-04-15
XFC-00014,-0.1331,Sleeping Dog,2026-04-15
XFC-00015,-0.118,Sleeping Dog,2026-04-15
XFC-00016,-0.025,Lost Cause,2026-04-15
XFC-00017,-0.061,Sleeping Dog,2026-04-15
XFC-00018,0.0451,Sure Thing,2026-04-15
XFC-00019,-0.0526,Sleeping Dog,2026-04-15
XFC-00020,-0.093,Sleeping Dog,2026-04-15
XFC-00021,0.1373,Persuadible,2026-04-15
XFC-00022,0.0019,Lost Cause,2026-04-15
XFC-00023,0.0254,Sure Thing,2026-04-15
XFC-00024,-0.094,Sleeping Dog,2026-04-15
XFC-00025,-0.0236,Lost Cause,2026-04-15
XFC-00026,0.0289,Sure Thing,2026-04-15
XFC-00027,-0.0721,Sleeping Dog,2026-04-15
XFC-00028,0.0501,Persuadible,2026-04-15
XFC-00029,-0.0281,Lost Cause,2026-04-15
XFC-00030,-0.0033,Lost Cause,2026-04-15
XFC-00031,-0.0281,Lost Cause,2026-04-15
XFC-00032,0.1682,Persuadible,2026-04-15
XFC-00033,0.0189,Lost Cause,2026-04-15
XFC-00034,-0.0646,Sleeping Dog,2026-04-15
XFC-00035,0.0858,Persuadible,2026-04-15
XFC-00036,-0.0777,Sleeping Dog,2026-04-15
XFC-00037,0.0367,Sure Thing,2026-04-15
